,Experiment,Model,Sample Size,SHAP Match %,Top Features
96,Auto Premium,Gradient Boosting,100,80.0,"Age: 164.6661, Annual kilometers: 116.1615, State: 101.0594, Business Use: 62.4617, Year: 27.0863"
97,Auto Premium,ElasticNet,500,80.0,"Age: 179.2085, Annual kilometers: 49.3857, State: 43.5691, Business Use: 33.1783, Sum Insured Amount: 21.2024"
98,Auto Premium,HistGradientBoosting,2000,100.0,"Annual kilometers: 197.4251, Age: 164.8454, Business Use: 107.9534, State: 82.1311, Gender: 17.0902"
99,Auto Premium,Gradient Boosting,100,80.0,"Annual kilometers: 162.0281, Age: 145.5501, State: 119.6480, Business Use: 80.1027, Year: 41.0773"
100,Auto Premium,HistGradientBoosting,2000,100.0,"Annual kilometers: 193.8185, Age: 162.6853, Business Use: 105.9554, State: 90.5679, Gender: 17.7412"
101,Auto Premium,HistGradientBoosting,500,100.0,"Annual kilometers: 201.8187, Age: 177.3563, Business Use: 107.4837, State: 74.0088, Gender: 11.1190"
102,Auto Premium,ExtraTrees,1000,100.0,"Annual kilometers: 176.0974, Age: 165.7987, Business Use: 101.6381, State: 52.6161, Gender: 7.7724"
103,Auto Premium,XGBoost,100,100.0,"Annual kilometers: 166.6087, Age: 141.9804, State: 137.6419, Business Use: 104.8291, Gender: 14.6414"
104,Auto Premium,ElasticNet,500,80.0,"Age: 154.6135, State: 60.1865, Business Use: 27.1843, Annual kilometers: 13.4096, Make Model: 12.5356"
105,Auto Premium,Gradient Boosting,500,100.0,"Annual kilometers: 198.8077, Age: 178.3908, Business Use: 109.7661, State: 78.7187, Gender: 18.3425"
106,Auto Premium,Random Forest,100,60.0,"Age: 181.2452, Annual kilometers: 113.3565, Business Use: 73.1258, Sum Insured Amount: 16.4835, Parking Location: 10.3226"
107,Auto Premium,Gradient Boosting,100,80.0,"Age: 144.4003, Annual kilometers: 97.2710, Business Use: 88.0343, State: 36.7825, Payment Frequency: 29.7135"
108,Auto Premium,XGBoost,2000,100.0,"Annual kilometers: 201.6878, Age: 168.0227, Business Use: 108.1782, State: 83.0144, Gender: 13.9042"
109,Auto Premium,ElasticNet,500,80.0,"Age: 147.7757, State: 68.5199, Annual kilometers: 43.4932, Make Model: 23.4858, Business Use: 19.5546"
110,Auto Premium,Gradient Boosting,100,80.0,"Annual kilometers: 197.1915, Age: 155.1243, Business Use: 130.5723, State: 41.7315, Sum Insured Amount: 12.3303"
111,Auto Premium,Gradient Boosting,100,80.0,"Age: 207.3552, Annual kilometers: 145.3885, Business Use: 69.6492, State: 25.2458, Parking Location: 21.7207"
112,Auto Premium,MLPRegressor,2000,40.0,"Sum Insured Amount: 27.9617, Age: 17.1612, Year: 3.6654, Annual kilometers: 1.7175, Number of Claims: 0.8273"
113,Auto Premium,Random Forest,1000,80.0,"Annual kilometers: 204.3037, Age: 172.9751, Business Use: 94.2886, State: 20.5698, Sum Insured Amount: 7.6148"
114,Auto Premium,HistGradientBoosting,1000,100.0,"Annual kilometers: 202.5916, Age: 162.4775, Business Use: 100.6541, State: 84.4268, Gender: 18.5280"
115,Auto Premium,Gradient Boosting,2000,100.0,"Annual kilometers: 187.4471, Age: 175.1986, Business Use: 112.4022, State: 79.5037, Gender: 14.6058"
116,Auto Premium,Random Forest,1000,80.0,"Age: 164.8247, Annual kilometers: 155.9828, Business Use: 107.9740, State: 38.7639, Year: 6.2004"
117,Auto Premium,Ridge,2000,80.0,"Age: 160.7676, Annual kilometers: 154.5542, Business Use: 58.1427, Gender: 19.0028, Year: 14.5759"
118,Auto Premium,HistGradientBoosting,500,100.0,"Annual kilometers: 173.9661, Age: 169.6311, Business Use: 91.7897, State: 65.4186, Gender: 17.1235"
119,Auto Premium,Gradient Boosting,2000,100.0,"Annual kilometers: 206.8581, Age: 176.8800, Business Use: 111.9084, State: 78.9555, Gender: 17.1378"
120,Auto Premium,Ridge,500,60.0,"Age: 170.3243, Business Use: 51.9720, State: 51.3583, Sum Insured Value Type: 32.4149, Number of Claims: 16.1380"
121,Auto Premium,ExtraTrees,1000,100.0,"Annual kilometers: 188.2170, Age: 173.5627, Business Use: 107.8173, State: 33.7849, Gender: 12.1651"
122,Auto Premium,Ridge,1000,80.0,"Age: 155.9645, Business Use: 64.0857, Gender: 32.4508, Financing: 20.1464, State: 19.5205"
123,Auto Premium,Gradient Boosting,100,80.0,"Age: 173.5159, Annual kilometers: 115.1678, Business Use: 74.9847, State: 40.3205, Year: 25.4243"
124,Auto Premium,HistGradientBoosting,100,100.0,"Age: 186.2854, Annual kilometers: 159.5052, Business Use: 102.8438, State: 72.6411, Gender: 22.7373"
125,Auto Premium,Gradient Boosting,1000,100.0,"Annual kilometers: 193.0887, Age: 186.1837, Business Use: 108.5009, State: 73.0609, Gender: 15.0889"
126,Auto Premium,MLPRegressor,1000,40.0,"Sum Insured Amount: 6.5162, Age: 5.5638, Year: 3.6379, State: 0.7862, Number of Claims: 0.7779"
127,Auto Premium,XGBoost,1000,100.0,"Annual kilometers: 184.1242, Age: 157.9220, Business Use: 113.0995, State: 85.6790, Gender: 15.1366"
128,Auto Premium,Gradient Boosting,100,80.0,"Annual kilometers: 158.0515, Age: 157.4888, Business Use: 75.3621, State: 39.5886, Year: 28.6317"
129,Auto Premium,ExtraTrees,1000,100.0,"Annual kilometers: 192.5353, Age: 165.8141, Business Use: 110.8531, State: 50.2076, Gender: 8.1317"
130,Auto Premium,Gradient Boosting,100,80.0,"Age: 211.8008, Annual kilometers: 153.5623, Business Use: 66.9887, State: 26.3114, Number of Claims: 17.9403"
131,Auto Premium,ExtraTrees,1000,100.0,"Annual kilometers: 188.9581, Age: 143.0486, Business Use: 111.7374, State: 60.4363, Gender: 7.6598"
132,Auto Premium,Random Forest,1000,80.0,"Annual kilometers: 198.2291, Age: 165.5594, Business Use: 89.7459, State: 16.0947, Sum Insured Amount: 5.1692"
133,Auto Premium,MLPRegressor,100,60.0,"Age: 47.1234, Sum Insured Amount: 5.1157, Annual kilometers: 4.8481, State: 4.7292, Number of Claims: 4.6513"
134,Auto Premium,HistGradientBoosting,1000,100.0,"Annual kilometers: 184.5154, Age: 175.3709, Business Use: 113.5672, State: 80.9355, Gender: 14.3223"
135,Auto Premium,CatBoost,2000,100.0,"Annual kilometers: 197.2858, Age: 168.3710, Business Use: 110.5811, State: 77.0107, Gender: 18.1111"
136,Auto Premium,ElasticNet,2000,80.0,"Age: 173.2101, Annual kilometers: 81.1836, Business Use: 30.1920, State: 25.1189, Sum Insured Amount: 6.3643"
137,Auto Premium,HistGradientBoosting,2000,100.0,"Annual kilometers: 192.4176, Age: 169.6355, Business Use: 109.1767, State: 86.3529, Gender: 13.8607"
138,Auto Premium,ElasticNet,1000,80.0,"Age: 180.5450, Annual kilometers: 124.4615, State: 44.2380, Business Use: 34.3787, Sum Insured Amount: 10.7480"
139,Auto Premium,XGBoost,100,80.0,"Age: 183.3289, Annual kilometers: 148.2914, Business Use: 89.5139, State: 36.3823, Sum Insured Amount: 18.9782"
140,Auto Premium,Random Forest,2000,100.0,"Annual kilometers: 204.6017, Age: 162.7309, Business Use: 115.5575, State: 55.4824, Gender: 5.0910"
141,Auto Premium,CatBoost,100,80.0,"Age: 156.3076, Annual kilometers: 99.1864, Business Use: 60.6788, State: 52.9581, Number of Claims: 29.5333"
142,Auto Premium,Gradient Boosting,100,80.0,"Age: 198.3005, Annual kilometers: 117.6430, Business Use: 96.3065, State: 29.6382, Make Model: 12.6144"
143,Auto Premium,MLPRegressor,1000,40.0,"Sum Insured Amount: 13.1713, Age: 10.2892, Year: 3.2915, Number of Claims: 0.6296, Business Use: 0.5163"
144,Auto Premium,Ridge,2000,100.0,"Age: 151.4785, Annual kilometers: 125.7218, State: 99.2414, Business Use: 49.1368, Gender: 23.2410"
145,Auto Premium,HistGradientBoosting,1000,100.0,"Annual kilometers: 202.1730, Age: 169.4297, Business Use: 110.5429, State: 83.2637, Gender: 15.4410"
146,Auto Premium,MLPRegressor,500,40.0,"Sum Insured Amount: 23.1357, Age: 8.0919, Year: 3.8143, Number of Claims: 0.5045, Business Use: 0.4662"
147,Auto Premium,ExtraTrees,2000,100.0,"Annual kilometers: 200.3920, Age: 161.6306, Business Use: 107.0023, State: 66.1643, Gender: 13.6635"
148,Auto Premium,HistGradientBoosting,2000,100.0,"Annual kilometers: 208.2230, Age: 169.9165, Business Use: 111.2880, State: 83.7548, Gender: 14.9951"
149,Auto Premium,HistGradientBoosting,2000,100.0,"Annual kilometers: 208.0135, Age: 170.9777, Business Use: 113.7036, State: 90.2675, Gender: 16.6065"
150,Auto Premium,MLPRegressor,100,60.0,"Sum Insured Amount: 51.7117, Age: 28.8952, Year: 3.9453, Business Use: 1.5731, State: 1.5392"
151,Auto Premium,Gradient Boosting,1000,100.0,"Age: 176.1650, Annual kilometers: 175.6950, Business Use: 105.8348, State: 71.4027, Gender: 11.7753"
152,Auto Premium,XGBoost,2000,100.0,"Annual kilometers: 190.8381, Age: 166.5228, Business Use: 109.1316, State: 84.0862, Gender: 14.6967"
153,Auto Premium,CatBoost,1000,100.0,"Annual kilometers: 192.2222, Age: 175.2228, Business Use: 102.2355, State: 84.1796, Gender: 11.4153"
154,Auto Premium,MLPRegressor,1000,40.0,"Sum Insured Amount: 9.3673, Age: 5.6539, Year: 3.6280, Annual kilometers: 0.8634, Number of Claims: 0.6760"
155,Auto Premium,ExtraTrees,100,80.0,"Annual kilometers: 139.4601, Age: 98.0961, Business Use: 90.5695, State: 69.1797, Hire Car: 11.1516"
156,Auto Premium,Random Forest,100,80.0,"Age: 185.4843, Annual kilometers: 101.7730, Business Use: 61.2776, State: 17.4010, Year: 12.7338"
157,Auto Premium,ElasticNet,2000,80.0,"Age: 158.1194, State: 67.7338, Business Use: 26.1869, Annual kilometers: 19.5974, Make Model: 7.4734"
158,Auto Premium,ExtraTrees,100,80.0,"Age: 152.1815, Annual kilometers: 61.6971, Business Use: 48.6020, Parking Location: 35.7228, State: 31.4147"
159,Auto Premium,Gradient Boosting,500,100.0,"Annual kilometers: 197.4438, Age: 153.2897, Business Use: 102.7241, State: 75.1442, Gender: 7.3615"
160,Auto Premium,ElasticNet,2000,80.0,"Age: 162.7698, Annual kilometers: 139.2485, Business Use: 63.5027, Sum Insured Value Type: 4.0787, State: 3.5118"
161,Auto Premium,ElasticNet,1000,80.0,"Age: 159.0930, Business Use: 34.4264, State: 29.4108, Parking Location: 16.9713, Annual kilometers: 16.5620"
162,Auto Premium,ElasticNet,2000,80.0,"Age: 172.8207, Annual kilometers: 68.3972, Business Use: 60.0051, State: 30.9862, Year: 9.7065"
163,Auto Premium,XGBoost,500,100.0,"Annual kilometers: 184.4402, Age: 166.8359, Business Use: 102.0702, State: 79.1674, Gender: 7.4963"
164,Auto Premium,Gradient Boosting,1000,100.0,"Annual kilometers: 190.0685, Age: 169.6950, Business Use: 103.3715, State: 77.9674, Gender: 15.3532"
165,Auto Premium,HistGradientBoosting,500,100.0,"Annual kilometers: 183.4473, Age: 177.1070, Business Use: 98.5010, State: 81.8861, Gender: 13.1077"
166,Auto Premium,ElasticNet,100,100.0,"Age: 153.1518, State: 88.0025, Business Use: 68.1871, Annual kilometers: 44.8357, Gender: 29.3440"
167,Auto Premium,XGBoost,500,100.0,"Annual kilometers: 184.9679, Age: 164.4061, Business Use: 87.1883, State: 55.7285, Gender: 13.7885"
168,Auto Premium,ExtraTrees,500,80.0,"Age: 168.6652, Annual kilometers: 126.3210, Business Use: 106.1532, State: 56.8871, Hire Car: 8.6044"
169,Auto Premium,Gradient Boosting,1000,100.0,"Annual kilometers: 200.5256, Age: 173.5815, Business Use: 95.5394, State: 74.8893, Gender: 15.0351"
170,Auto Premium,ElasticNet,500,60.0,"Age: 187.1282, Annual kilometers: 38.9778, Business Use: 26.9109, Year: 12.1587, Sum Insured Amount: 11.7810"
171,Auto Premium,CatBoost,2000,100.0,"Annual kilometers: 182.8003, Age: 172.6127, Business Use: 111.2917, State: 80.9586, Gender: 16.2660"
172,Auto Premium,Ridge,2000,60.0,"Age: 159.7930, Business Use: 58.6179, Gender: 18.0491, Parking Location: 10.1619, Hire Car: 9.6007"
173,Auto Premium,CatBoost,500,100.0,"Age: 167.9132, Annual kilometers: 163.8657, Business Use: 100.3026, State: 73.9647, Gender: 13.5409"
174,Auto Premium,Random Forest,1000,80.0,"Annual kilometers: 174.0784, Age: 158.4009, Business Use: 115.4498, State: 82.1513, Sum Insured Amount: 6.3249"
175,Auto Premium,ElasticNet,1000,80.0,"Age: 168.3127, Business Use: 64.5879, State: 37.4723, Annual kilometers: 25.1831, Parking Location: 8.3843"
