Age,Gender,Driving Experience (Years),Annual Mileage,Vehicle Type,Vehicle Age (Years),Number of Past Accidents,Location (Risk Area),Credit Score,Coverage Type,Deductible Amount,Gender Factor,Vehicle Type Factor,Coverage Type Factor,Combined Risk Factor,Expected Premium
55,Male,7,13769,SUV,8,0,Rural,846,Standard,1000,1.5,1.1,1.1,1.0,907.5000000000002
43,Female,24,9579,Truck,12,0,Rural,615,Basic,500,1.2,1.3,1.0,1.0,780.0
31,Female,25,28429,SUV,0,0,Suburban,616,Standard,1000,1.2,1.1,1.1,1.0,726.0000000000001
26,Male,47,21592,Sedan,2,1,Urban,509,Basic,1000,1.5,1.6,1.0,1.0,1200.0
27,Male,49,7751,Convertible,20,0,Suburban,413,Premium,250,1.5,1.4,1.3,1.0,1365.0
38,Male,41,26549,SUV,19,1,Rural,610,Standard,250,1.5,1.1,1.1,1.0,907.5000000000002
69,Male,30,14340,Sedan,12,1,Suburban,559,Standard,100,1.5,1.6,1.1,1.0,1320.0
34,Male,16,23421,Truck,6,1,Suburban,832,Basic,1000,1.5,1.3,1.0,0.8,780.0
69,Female,38,23329,Sedan,7,0,Rural,312,Basic,1000,1.2,1.6,1.0,1.0,960.0
23,Female,55,26472,Convertible,20,0,Rural,315,Premium,500,1.2,1.4,1.3,1.0,1092.0
80,Male,20,5721,Sedan,15,0,Urban,824,Premium,500,1.5,1.6,1.3,1.2,1872.0
33,Male,55,9265,Truck,8,0,Rural,721,Premium,100,1.5,1.3,1.3,1.2,1521.0
65,Male,32,29065,Sedan,20,1,Rural,306,Basic,500,1.5,1.6,1.0,1.0,1200.0
18,Male,57,18573,Truck,14,1,Rural,703,Basic,1000,1.5,1.3,1.0,0.8,780.0
36,Female,23,6275,Sedan,17,1,Suburban,384,Standard,250,1.2,1.6,1.1,1.0,1056.0
53,Female,62,5770,Truck,13,0,Rural,429,Basic,1000,1.2,1.3,1.0,0.8,624.0
42,Male,29,9915,Truck,5,1,Suburban,718,Basic,500,1.5,1.3,1.0,1.0,975.0
67,Female,24,29213,Sedan,10,0,Urban,350,Basic,500,1.2,1.6,1.0,1.0,960.0
69,Male,53,29212,Sedan,8,0,Urban,352,Basic,500,1.5,1.6,1.0,1.0,1200.0
47,Male,8,19730,Sedan,11,0,Urban,475,Premium,500,1.5,1.6,1.3,1.0,1560.0
37,Female,36,6697,SUV,20,0,Suburban,696,Basic,100,1.2,1.1,1.0,1.0,660.0
37,Female,56,27052,SUV,1,0,Suburban,843,Standard,100,1.2,1.1,1.1,1.0,726.0000000000001
32,Male,13,28823,Sedan,11,4,Rural,616,Premium,250,1.5,1.6,1.3,1.0,1560.0
57,Male,8,25480,Truck,7,1,Suburban,496,Premium,1000,1.5,1.3,1.3,0.8,1014.0
50,Male,36,18805,Truck,13,0,Urban,476,Standard,100,1.5,1.3,1.1,1.0,1072.5
19,Male,53,10622,Truck,12,2,Urban,564,Premium,1000,1.5,1.3,1.3,1.5,1901.25
27,Female,37,9020,SUV,15,0,Urban,825,Standard,500,1.2,1.1,1.1,1.0,726.0000000000001
75,Male,46,29163,SUV,13,0,Rural,795,Standard,100,1.5,1.1,1.1,1.0,907.5000000000002
50,Male,8,25380,Truck,16,1,Rural,565,Standard,100,1.5,1.3,1.1,1.0,1072.5
49,Female,21,28966,SUV,12,0,Rural,833,Premium,500,1.2,1.1,1.3,1.2,1029.6
28,Female,59,13383,Convertible,8,1,Urban,519,Basic,1000,1.2,1.4,1.0,1.0,840.0
70,Male,44,14306,Convertible,17,1,Suburban,787,Premium,500,1.5,1.4,1.3,1.2,1638.0
41,Female,55,19788,Truck,2,0,Suburban,402,Premium,250,1.2,1.3,1.3,1.0,1014.0
53,Female,40,28481,SUV,15,0,Suburban,348,Basic,100,1.2,1.1,1.0,1.0,660.0
80,Female,35,7573,SUV,16,0,Urban,307,Standard,1000,1.2,1.1,1.1,1.0,726.0000000000001
29,Female,1,18945,Sedan,19,0,Urban,512,Standard,1000,1.2,1.6,1.1,1.0,1056.0
68,Male,7,29750,Truck,2,0,Urban,759,Standard,100,1.5,1.3,1.1,1.0,1072.5
73,Female,41,17064,Convertible,11,1,Urban,392,Standard,1000,1.2,1.4,1.1,1.0,924.0000000000001
46,Male,19,19238,Convertible,18,1,Suburban,681,Standard,250,1.5,1.4,1.1,1.0,1155.0
52,Male,33,24370,Truck,14,0,Rural,752,Premium,1000,1.5,1.3,1.3,1.2,1521.0
18,Female,47,11463,Truck,18,0,Urban,502,Basic,250,1.2,1.3,1.0,1.0,780.0
18,Male,60,10698,Convertible,11,2,Urban,743,Standard,100,1.5,1.4,1.1,1.5,1732.5
54,Female,36,29520,Sedan,9,2,Suburban,769,Basic,100,1.2,1.6,1.0,1.0,960.0
71,Female,29,10998,Sedan,3,1,Urban,449,Premium,500,1.2,1.6,1.3,1.0,1248.0
23,Male,42,15164,Convertible,10,1,Rural,768,Basic,100,1.5,1.4,1.0,1.0,1050.0
56,Female,38,27120,Truck,3,2,Urban,353,Standard,500,1.2,1.3,1.1,1.5,1287.0000000000002
58,Male,19,15603,Sedan,2,1,Suburban,429,Premium,100,1.5,1.6,1.3,1.0,1560.0
70,Female,26,23738,Truck,16,0,Rural,775,Basic,1000,1.2,1.3,1.0,0.8,624.0
35,Male,45,21485,Sedan,5,1,Suburban,620,Basic,1000,1.5,1.6,1.0,1.0,1200.0
33,Male,30,27275,SUV,3,0,Rural,626,Premium,1000,1.5,1.1,1.3,1.0,1072.5000000000002
22,Male,20,13852,SUV,15,0,Suburban,656,Premium,1000,1.5,1.1,1.3,1.0,1072.5000000000002
59,Female,35,7070,Truck,20,1,Rural,306,Standard,1000,1.2,1.3,1.1,0.8,686.4000000000001
60,Male,19,22156,Sedan,3,0,Urban,331,Premium,250,1.5,1.6,1.3,1.0,1560.0
76,Male,44,24786,Convertible,17,0,Urban,789,Basic,100,1.5,1.4,1.0,1.0,1050.0
49,Male,36,14788,Sedan,7,0,Rural,454,Standard,1000,1.5,1.6,1.1,1.0,1320.0
74,Female,20,22893,Sedan,13,0,Urban,532,Standard,1000,1.2,1.6,1.1,1.0,1056.0
19,Male,18,19415,SUV,11,2,Suburban,616,Premium,100,1.5,1.1,1.3,1.0,1072.5000000000002
19,Female,29,5697,Convertible,14,0,Suburban,641,Basic,1000,1.2,1.4,1.0,1.0,840.0
57,Male,32,28022,SUV,18,1,Suburban,360,Premium,1000,1.5,1.1,1.3,1.0,1072.5000000000002
59,Female,44,28614,Truck,3,0,Urban,735,Basic,500,1.2,1.3,1.0,1.0,780.0
75,Male,54,17323,Sedan,20,0,Suburban,676,Standard,100,1.5,1.6,1.1,1.0,1320.0
53,Female,39,17322,Convertible,2,0,Rural,593,Premium,100,1.2,1.4,1.3,1.0,1092.0
56,Female,27,19915,SUV,7,0,Suburban,703,Basic,500,1.2,1.1,1.0,1.0,660.0
73,Male,32,15718,SUV,14,3,Rural,804,Premium,250,1.5,1.1,1.3,1.2,1287.0000000000002
29,Female,22,22983,Truck,1,0,Urban,809,Premium,500,1.2,1.3,1.3,1.2,1216.8
64,Male,62,15719,Truck,13,0,Suburban,349,Basic,250,1.5,1.3,1.0,1.0,975.0
36,Male,51,10355,SUV,19,1,Urban,333,Standard,1000,1.5,1.1,1.1,1.0,907.5000000000002
45,Female,1,22118,Convertible,16,0,Urban,786,Standard,100,1.2,1.4,1.1,1.0,924.0000000000001
18,Female,21,28467,Sedan,3,1,Rural,727,Standard,500,1.2,1.6,1.1,1.0,1056.0
32,Male,7,23886,Sedan,5,0,Suburban,786,Premium,100,1.5,1.6,1.3,1.2,1872.0
53,Male,2,5432,Truck,13,0,Rural,346,Premium,100,1.5,1.3,1.3,1.0,1267.5
71,Male,30,29909,SUV,18,0,Suburban,800,Basic,250,1.5,1.1,1.0,1.0,825.0000000000001
30,Female,55,7068,Sedan,5,0,Suburban,564,Standard,500,1.2,1.6,1.1,1.0,1056.0
75,Male,26,16610,Convertible,4,2,Suburban,404,Basic,500,1.5,1.4,1.0,1.0,1050.0
60,Female,32,10447,Sedan,0,0,Urban,542,Premium,250,1.2,1.6,1.3,1.0,1248.0
38,Male,10,9331,Convertible,5,0,Suburban,431,Standard,250,1.5,1.4,1.1,1.0,1155.0
29,Male,51,12879,SUV,5,0,Suburban,587,Premium,500,1.5,1.1,1.3,1.0,1072.5000000000002
22,Male,3,20323,Sedan,0,1,Suburban,748,Basic,250,1.5,1.6,1.0,1.0,1200.0
24,Male,33,25497,SUV,10,0,Suburban,622,Premium,100,1.5,1.1,1.3,1.0,1072.5000000000002
22,Male,1,26355,Sedan,1,1,Suburban,655,Basic,1000,1.5,1.6,1.0,1.0,1200.0
65,Male,31,7504,Convertible,15,1,Suburban,631,Standard,500,1.5,1.4,1.1,1.0,1155.0
70,Female,48,25710,Convertible,9,0,Rural,723,Basic,1000,1.2,1.4,1.0,1.0,840.0
21,Male,17,27286,Convertible,13,0,Urban,368,Standard,250,1.5,1.4,1.1,1.0,1155.0
30,Male,55,24017,Sedan,8,0,Rural,419,Basic,250,1.5,1.6,1.0,1.0,1200.0
54,Male,38,28193,Sedan,20,1,Urban,673,Premium,1000,1.5,1.6,1.3,1.0,1560.0
70,Female,13,13526,Sedan,20,1,Urban,516,Premium,500,1.2,1.6,1.3,1.0,1248.0
58,Male,0,19296,Truck,6,0,Rural,472,Standard,1000,1.5,1.3,1.1,0.8,858.0
32,Male,60,29267,Convertible,7,2,Urban,775,Basic,100,1.5,1.4,1.0,1.5,1575.0
33,Male,28,6689,Convertible,8,0,Suburban,550,Basic,1000,1.5,1.4,1.0,1.0,1050.0
38,Female,19,19920,Sedan,12,0,Rural,477,Basic,500,1.2,1.6,1.0,1.0,960.0
53,Male,28,26302,SUV,18,1,Rural,475,Standard,250,1.5,1.1,1.1,1.0,907.5000000000002
76,Male,45,8211,SUV,19,0,Urban,792,Premium,1000,1.5,1.1,1.3,1.2,1287.0000000000002
41,Female,53,25672,Truck,16,2,Rural,731,Basic,100,1.2,1.3,1.0,1.0,780.0
33,Male,33,18753,Convertible,11,0,Suburban,617,Basic,500,1.5,1.4,1.0,1.0,1050.0
31,Female,30,12079,SUV,19,0,Rural,624,Basic,250,1.2,1.1,1.0,1.0,660.0
71,Female,25,14903,Sedan,13,1,Urban,616,Basic,100,1.2,1.6,1.0,1.0,960.0
39,Male,18,20855,Convertible,8,0,Suburban,659,Basic,500,1.5,1.4,1.0,1.0,1050.0
66,Female,51,23006,Sedan,20,0,Rural,516,Premium,250,1.2,1.6,1.3,1.0,1248.0
67,Female,1,20845,Sedan,18,0,Suburban,683,Premium,250,1.2,1.6,1.3,1.0,1248.0
23,Male,15,14818,SUV,2,0,Rural,579,Premium,250,1.5,1.1,1.3,1.0,1072.5000000000002
59,Male,51,20287,Convertible,6,0,Suburban,777,Premium,100,1.5,1.4,1.3,1.2,1638.0
53,Male,50,25149,SUV,19,0,Suburban,349,Premium,250,1.5,1.1,1.3,1.0,1072.5000000000002
18,Male,51,11027,Sedan,2,0,Rural,389,Basic,1000,1.5,1.6,1.0,1.0,1200.0
49,Female,58,9479,Truck,8,2,Rural,761,Basic,250,1.2,1.3,1.0,1.0,780.0
23,Female,20,20494,Truck,14,0,Suburban,376,Premium,250,1.2,1.3,1.3,1.0,1014.0
48,Female,61,26996,Truck,16,0,Urban,644,Standard,1000,1.2,1.3,1.1,0.8,686.4000000000001
18,Male,49,11109,Convertible,14,0,Urban,846,Basic,1000,1.5,1.4,1.0,1.0,1050.0
67,Female,26,18802,SUV,2,1,Rural,370,Standard,1000,1.2,1.1,1.1,1.0,726.0000000000001
68,Male,6,9929,Sedan,18,2,Suburban,768,Basic,250,1.5,1.6,1.0,1.0,1200.0
54,Female,17,14970,Truck,7,1,Urban,692,Standard,100,1.2,1.3,1.1,1.0,858.0000000000001
52,Female,30,20479,Sedan,18,0,Suburban,470,Standard,500,1.2,1.6,1.1,1.0,1056.0
66,Male,39,11141,Sedan,15,0,Rural,433,Basic,250,1.5,1.6,1.0,1.0,1200.0
47,Male,43,17189,Truck,14,0,Urban,449,Standard,500,1.5,1.3,1.1,1.0,1072.5
21,Female,12,28522,Convertible,10,0,Suburban,303,Basic,1000,1.2,1.4,1.0,1.0,840.0
52,Female,11,20720,Truck,11,2,Urban,803,Standard,500,1.2,1.3,1.1,1.5,1287.0000000000002
60,Female,52,23961,Convertible,16,0,Suburban,636,Standard,1000,1.2,1.4,1.1,1.0,924.0000000000001
31,Female,57,28387,SUV,6,1,Rural,549,Premium,500,1.2,1.1,1.3,1.0,858.0
66,Female,6,19020,Sedan,5,0,Suburban,445,Basic,1000,1.2,1.6,1.0,1.0,960.0
57,Male,32,20996,Truck,6,1,Suburban,816,Basic,1000,1.5,1.3,1.0,0.8,780.0
39,Female,25,27674,Convertible,11,1,Urban,307,Premium,1000,1.2,1.4,1.3,1.0,1092.0
27,Female,26,5185,Sedan,3,0,Urban,561,Basic,500,1.2,1.6,1.0,1.0,960.0
18,Female,1,25081,Sedan,11,1,Urban,438,Premium,500,1.2,1.6,1.3,1.0,1248.0
28,Female,45,9836,Sedan,14,0,Suburban,498,Premium,250,1.2,1.6,1.3,1.0,1248.0
68,Male,17,16817,Sedan,15,0,Urban,344,Standard,250,1.5,1.6,1.1,1.0,1320.0
61,Male,38,17826,SUV,14,0,Rural,534,Basic,500,1.5,1.1,1.0,1.0,825.0000000000001
76,Male,45,16485,SUV,12,2,Urban,334,Standard,250,1.5,1.1,1.1,1.5,1361.2500000000005
41,Male,42,15481,SUV,3,1,Suburban,589,Premium,500,1.5,1.1,1.3,1.0,1072.5000000000002
77,Male,57,27600,SUV,7,1,Rural,372,Basic,100,1.5,1.1,1.0,1.0,825.0000000000001
20,Male,3,18287,Sedan,15,1,Suburban,637,Premium,250,1.5,1.6,1.3,1.0,1560.0
75,Female,12,14553,Sedan,19,0,Rural,619,Standard,250,1.2,1.6,1.1,1.0,1056.0
52,Female,53,10268,SUV,7,1,Urban,483,Basic,250,1.2,1.1,1.0,1.0,660.0
80,Male,55,23528,SUV,8,0,Suburban,488,Basic,100,1.5,1.1,1.0,1.0,825.0000000000001
53,Female,39,7937,SUV,8,0,Suburban,303,Premium,500,1.2,1.1,1.3,1.0,858.0
48,Female,7,14069,SUV,8,1,Suburban,679,Standard,250,1.2,1.1,1.1,1.0,726.0000000000001
77,Male,53,19203,Truck,11,1,Rural,520,Basic,500,1.5,1.3,1.0,1.0,975.0
21,Female,39,8444,SUV,0,0,Rural,472,Standard,100,1.2,1.1,1.1,1.0,726.0000000000001
36,Male,15,24458,Truck,2,0,Suburban,429,Standard,100,1.5,1.3,1.1,1.0,1072.5
64,Male,9,25267,SUV,19,0,Urban,755,Standard,250,1.5,1.1,1.1,1.0,907.5000000000002
53,Male,19,26637,Sedan,17,0,Rural,613,Premium,500,1.5,1.6,1.3,1.0,1560.0
38,Male,4,14397,Sedan,20,1,Urban,313,Premium,500,1.5,1.6,1.3,1.0,1560.0
35,Male,49,8952,Convertible,18,0,Suburban,489,Basic,100,1.5,1.4,1.0,1.0,1050.0
68,Male,56,27192,Sedan,9,2,Suburban,533,Standard,1000,1.5,1.6,1.1,1.0,1320.0
45,Female,62,18147,Sedan,1,0,Suburban,314,Standard,250,1.2,1.6,1.1,1.0,1056.0
32,Female,17,18724,Convertible,8,0,Rural,688,Premium,1000,1.2,1.4,1.3,1.0,1092.0
59,Female,33,24291,Convertible,15,2,Rural,681,Basic,1000,1.2,1.4,1.0,1.0,840.0
76,Female,32,17467,Convertible,2,0,Urban,720,Basic,250,1.2,1.4,1.0,1.0,840.0
19,Female,41,26765,Sedan,10,0,Suburban,775,Premium,1000,1.2,1.6,1.3,1.2,1497.6
54,Female,31,8529,SUV,2,0,Suburban,792,Premium,1000,1.2,1.1,1.3,1.2,1029.6
28,Male,18,26814,Sedan,13,0,Urban,791,Standard,500,1.5,1.6,1.1,1.0,1320.0
40,Female,29,11095,Convertible,9,0,Rural,775,Standard,100,1.2,1.4,1.1,1.0,924.0000000000001
61,Female,36,10623,Sedan,10,0,Urban,464,Basic,100,1.2,1.6,1.0,1.0,960.0
58,Female,17,24078,Truck,2,0,Suburban,774,Standard,1000,1.2,1.3,1.1,0.8,686.4000000000001
29,Female,22,20823,Convertible,17,1,Urban,426,Premium,1000,1.2,1.4,1.3,1.0,1092.0
20,Female,42,12641,SUV,5,0,Urban,472,Premium,250,1.2,1.1,1.3,1.0,858.0
69,Male,4,11476,Convertible,19,0,Urban,607,Premium,250,1.5,1.4,1.3,1.0,1365.0
34,Male,2,9582,Truck,10,1,Rural,439,Standard,500,1.5,1.3,1.1,1.0,1072.5
50,Female,12,26905,Convertible,7,0,Urban,755,Premium,500,1.2,1.4,1.3,1.2,1310.3999999999999
72,Female,28,19584,Truck,15,0,Urban,553,Standard,500,1.2,1.3,1.1,1.0,858.0000000000001
18,Female,1,18191,Sedan,16,0,Urban,603,Basic,1000,1.2,1.6,1.0,1.0,960.0
56,Male,41,6498,SUV,13,0,Urban,594,Standard,250,1.5,1.1,1.1,1.0,907.5000000000002
37,Female,45,19959,Truck,11,0,Suburban,307,Standard,500,1.2,1.3,1.1,1.0,858.0000000000001
64,Male,20,27275,SUV,3,0,Suburban,351,Standard,250,1.5,1.1,1.1,1.0,907.5000000000002
60,Male,60,6472,Sedan,6,1,Rural,727,Premium,1000,1.5,1.6,1.3,1.2,1872.0
69,Male,17,16732,Truck,2,0,Urban,368,Premium,1000,1.5,1.3,1.3,0.8,1014.0
74,Male,39,8572,SUV,13,0,Urban,368,Standard,500,1.5,1.1,1.1,1.0,907.5000000000002
78,Female,30,13433,Convertible,11,0,Suburban,787,Premium,250,1.2,1.4,1.3,1.2,1310.3999999999999
58,Male,34,5136,Convertible,5,1,Suburban,421,Basic,100,1.5,1.4,1.0,1.0,1050.0
31,Male,19,24750,SUV,2,0,Rural,721,Premium,500,1.5,1.1,1.3,1.2,1287.0000000000002
48,Male,61,18961,Truck,13,0,Rural,323,Standard,500,1.5,1.3,1.1,1.0,1072.5
42,Male,15,12086,Sedan,20,0,Suburban,328,Premium,250,1.5,1.6,1.3,1.0,1560.0
79,Male,22,21038,Truck,10,0,Rural,606,Basic,100,1.5,1.3,1.0,1.0,975.0
20,Female,10,9018,Truck,18,0,Rural,492,Basic,100,1.2,1.3,1.0,1.0,780.0
21,Female,51,14856,Truck,13,0,Urban,498,Premium,250,1.2,1.3,1.3,1.0,1014.0
48,Female,49,12401,Sedan,2,0,Urban,759,Standard,1000,1.2,1.6,1.1,1.0,1056.0
52,Female,44,18315,Convertible,13,1,Rural,834,Standard,500,1.2,1.4,1.1,1.0,924.0000000000001
61,Male,13,7784,Sedan,6,0,Rural,377,Premium,1000,1.5,1.6,1.3,1.0,1560.0
31,Female,27,29831,Convertible,14,0,Rural,366,Basic,500,1.2,1.4,1.0,1.0,840.0
66,Male,49,19114,Truck,5,0,Rural,668,Premium,1000,1.5,1.3,1.3,0.8,1014.0
58,Male,12,9087,Convertible,2,0,Suburban,392,Premium,1000,1.5,1.4,1.3,1.0,1365.0
26,Female,46,23140,Sedan,6,0,Suburban,354,Premium,250,1.2,1.6,1.3,1.0,1248.0
37,Female,1,20947,Sedan,6,1,Urban,367,Premium,100,1.2,1.6,1.3,1.0,1248.0
49,Female,53,16161,Convertible,13,1,Urban,369,Premium,250,1.2,1.4,1.3,1.0,1092.0
26,Male,19,17038,SUV,2,0,Urban,366,Standard,500,1.5,1.1,1.1,1.0,907.5000000000002
44,Male,4,26780,Sedan,13,1,Suburban,454,Standard,100,1.5,1.6,1.1,1.0,1320.0
20,Male,52,8041,Truck,7,1,Suburban,334,Premium,250,1.5,1.3,1.3,1.0,1267.5
74,Male,39,16038,SUV,14,1,Rural,336,Standard,1000,1.5,1.1,1.1,1.0,907.5000000000002
70,Male,61,20960,SUV,17,0,Rural,577,Basic,250,1.5,1.1,1.0,1.0,825.0000000000001
21,Female,1,14992,SUV,13,1,Rural,567,Standard,1000,1.2,1.1,1.1,1.0,726.0000000000001
62,Male,10,14026,Convertible,14,0,Rural,524,Premium,500,1.5,1.4,1.3,1.0,1365.0
79,Male,24,21456,Sedan,18,1,Suburban,581,Premium,100,1.5,1.6,1.3,1.0,1560.0
32,Male,39,16768,Sedan,5,0,Rural,583,Standard,100,1.5,1.6,1.1,1.0,1320.0
50,Male,20,27900,Truck,17,0,Suburban,574,Premium,500,1.5,1.3,1.3,1.0,1267.5
22,Female,47,19432,Convertible,2,0,Urban,308,Basic,1000,1.2,1.4,1.0,1.0,840.0
21,Female,59,19025,SUV,14,1,Urban,392,Premium,100,1.2,1.1,1.3,1.0,858.0
63,Female,30,29150,Sedan,2,0,Rural,760,Standard,1000,1.2,1.6,1.1,1.0,1056.0
29,Female,12,6622,Convertible,16,0,Rural,415,Basic,1000,1.2,1.4,1.0,1.0,840.0
78,Male,7,13350,Sedan,0,1,Suburban,597,Standard,500,1.5,1.6,1.1,1.0,1320.0
40,Female,29,21905,Convertible,1,0,Rural,767,Standard,500,1.2,1.4,1.1,1.0,924.0000000000001
31,Female,52,20399,Sedan,20,0,Suburban,846,Premium,1000,1.2,1.6,1.3,1.2,1497.6
75,Female,15,22830,Sedan,12,0,Suburban,629,Basic,250,1.2,1.6,1.0,1.0,960.0
63,Female,19,22420,SUV,8,0,Rural,524,Standard,500,1.2,1.1,1.1,1.0,726.0000000000001
29,Female,36,11576,Truck,18,1,Rural,598,Basic,500,1.2,1.3,1.0,1.0,780.0
74,Female,36,18456,Sedan,19,0,Suburban,585,Basic,1000,1.2,1.6,1.0,1.0,960.0
34,Female,36,12226,SUV,20,1,Rural,608,Standard,1000,1.2,1.1,1.1,1.0,726.0000000000001
42,Male,15,17174,Sedan,15,2,Rural,390,Standard,500,1.5,1.6,1.1,1.0,1320.0
47,Male,24,7106,Convertible,8,0,Urban,551,Basic,250,1.5,1.4,1.0,1.0,1050.0
39,Female,51,12224,Truck,11,0,Urban,802,Basic,500,1.2,1.3,1.0,1.0,780.0
64,Female,44,18116,SUV,9,0,Rural,623,Premium,100,1.2,1.1,1.3,1.0,858.0
43,Female,26,27079,Truck,14,0,Suburban,841,Premium,250,1.2,1.3,1.3,1.2,1216.8
34,Female,58,25064,SUV,3,0,Rural,551,Premium,250,1.2,1.1,1.3,1.0,858.0
78,Female,35,16889,SUV,12,0,Urban,457,Standard,1000,1.2,1.1,1.1,1.0,726.0000000000001
75,Male,11,11471,Convertible,2,0,Urban,560,Standard,1000,1.5,1.4,1.1,1.0,1155.0
72,Male,50,20252,Truck,8,0,Suburban,334,Premium,1000,1.5,1.3,1.3,0.8,1014.0
71,Male,25,26867,SUV,8,2,Suburban,409,Basic,250,1.5,1.1,1.0,1.0,825.0000000000001
79,Male,19,19871,Convertible,16,2,Urban,820,Standard,100,1.5,1.4,1.1,1.5,1732.5
37,Male,0,26344,Truck,12,0,Urban,318,Premium,100,1.5,1.3,1.3,1.0,1267.5
51,Female,55,29753,Truck,16,0,Urban,549,Basic,250,1.2,1.3,1.0,1.0,780.0
58,Male,61,24326,Truck,8,0,Suburban,466,Premium,1000,1.5,1.3,1.3,0.8,1014.0
50,Female,32,22127,Convertible,6,0,Urban,720,Premium,500,1.2,1.4,1.3,1.2,1310.3999999999999
54,Female,61,18401,Truck,20,0,Suburban,653,Premium,250,1.2,1.3,1.3,1.0,1014.0
77,Female,53,22910,Sedan,5,2,Suburban,503,Standard,250,1.2,1.6,1.1,1.0,1056.0
77,Female,28,8590,Truck,14,0,Rural,621,Standard,1000,1.2,1.3,1.1,0.8,686.4000000000001
75,Female,2,24409,SUV,5,0,Urban,572,Basic,1000,1.2,1.1,1.0,1.0,660.0
24,Male,2,15600,Truck,20,0,Urban,507,Premium,250,1.5,1.3,1.3,1.0,1267.5
39,Male,44,18135,Sedan,20,1,Suburban,351,Premium,1000,1.5,1.6,1.3,1.0,1560.0
49,Female,52,23290,Convertible,19,0,Urban,777,Premium,500,1.2,1.4,1.3,1.2,1310.3999999999999
31,Female,50,20285,Sedan,6,1,Rural,560,Standard,500,1.2,1.6,1.1,1.0,1056.0
25,Female,48,19448,Truck,18,0,Suburban,373,Standard,100,1.2,1.3,1.1,1.0,858.0000000000001
74,Female,49,28796,Sedan,9,0,Suburban,662,Standard,250,1.2,1.6,1.1,1.0,1056.0
42,Female,36,16899,Convertible,0,0,Suburban,449,Standard,500,1.2,1.4,1.1,1.0,924.0000000000001
33,Female,8,15155,Convertible,9,0,Rural,705,Basic,500,1.2,1.4,1.0,1.0,840.0
59,Male,41,8957,Convertible,4,0,Rural,767,Standard,500,1.5,1.4,1.1,1.0,1155.0
36,Male,19,28491,SUV,7,1,Urban,530,Premium,1000,1.5,1.1,1.3,1.0,1072.5000000000002
